headline,date,doc_type,material_type,section,keywords,word_count
Your Tuesday Briefing,2022-09-06,article,briefing,Briefing,[],1301
Britain’s New Prime Minister Is Still in Thrall to the Empire,2022-09-06,article,Op-Ed,Opinion,"['Politics and Government', 'Economic Conditions and Trends', 'Taxation']",1095
"In farewell speech, Boris Johnson pledges to support Liz Truss ‘every step of the way.’",2022-09-06,article,News,World,"['Elections', 'Politics and Government']",400
Watch Live: Boris Johnson Delivers Farewell Remarks,2022-09-06,multimedia,Video,World,['Politics and Government'],0
Word of the Day: myriad,2022-09-06,article,News,The Learning Network,[],350
Kylian Mbappé Is Coming for It All,2022-09-06,article,News,Sports,"['Content Type: Personal Profile', 'Soccer', 'UEFA Champions League (Soccer)', 'internal-sub-only']",3274
The queen will meet the new prime minister at Balmoral Castle in Scotland.,2022-09-06,article,News,World,['Royal Families'],430
Spelling Bee Forum,2022-09-06,article,News,Crosswords & Games,[],165
Biden Administration Releases Plan for $50 Billion Investment in Chips,2022-09-06,article,News,Business Day,"['United States Politics and Government', 'Computer Chips', 'Factories and Manufacturing', 'Supply Chain', 'Innovation', 'Law and Legislation']",1247
"As Ex-Uber Executive Heads to Trial, the Security Community Reels",2022-09-06,article,News,Technology,"['Computer Security', 'Cyberattacks and Hackers', 'Computers and the Internet']",1554
"Biden Puts Defense of Democracy at Center of Agenda, at Home and Abroad",2022-09-06,article,News,U.S.,"['Elections', 'Politics and Government', 'Democracy (Theory and Philosophy)', 'United States International Relations', 'United States Politics and Government']",1444
"It Was War. Then, a Rancher’s Truce With Some Pesky Beavers Paid Off.",2022-09-06,article,News,Climate,"['Beavers', 'Water', 'Global Warming', 'Drought', 'Wetlands', 'Land Use Policies', 'Agriculture and Farming', 'Floods', 'audio-neutral-informative', 'audio-neutral-immersive', 'audio-positive-happy']",1469
"Battling Violence and Censors, Women in China Become ‘Invisible and Absent’",2022-09-06,article,News,Business Day,"['Women and Girls', 'Sexual Harassment', 'Sex Crimes', 'Assaults', '#MeToo Movement', 'Censorship', 'Social Media', ""Women's Rights"", 'Discrimination', 'Propaganda']",1251
Biden Administration Has Admitted One Million Migrants to Await Hearings,2022-09-06,article,News,U.S.,"['Asylum, Right of', 'Immigration and Emigration', 'Migrant Labor (Non-Agriculture)']",2090
Scenes From the Aftermath of Typhoon Hinnamnor,2022-09-06,article,News,World,"['Typhoons', 'Hurricanes and Tropical Storms', 'vis-photo']",300
Boris Johnson Delivers Last Address as Prime Minister,2022-09-06,multimedia,Video,World,"['Politics and Government', 'Speeches and Statements']",0
What Were Your ‘Mundane Joys’ of Summer?,2022-09-06,article,News,The Learning Network,[],596
Summer Playlist,2022-09-06,article,News,The Learning Network,[],134
Can You Get Hooked on Melatonin?,2022-09-06,article,News,Well,"['Sleep', 'Melatonin (Hormone)', 'Parasomnias (Sleep Disorders)', 'Anxiety and Stress', 'Content Type: Service']",1297
Lesson Plan: The First Images From the James Webb Space Telescope,2022-09-06,article,News,The Learning Network,[],817
The Subtle Art of Appreciating ‘Difficult Beauty’,2022-09-06,article,Op-Ed,Opinion,"['Beauty (Concept)', 'Disabilities', 'Books and Literature', 'Art', 'Philosophy', 'audio-neutral-informative']",525
"Debtors, Unite! You Have Nothing to Lose but Your Shame.",2022-09-06,article,Op-Ed,Opinion,"['Student Loans', 'United States Politics and Government', 'United States Economy', 'Banking and Financial Institutions', 'Income Inequality']",1314
Why Gorbachev Mattered,2022-09-06,article,Op-Ed,Opinion,"['Cold War Era', 'United States International Relations', 'Russian Invasion of Ukraine (2022)', 'Democracy (Theory and Philosophy)']",1116
The Stakes,2022-09-06,article,News,Podcasts,"['Midterm Elections (2022)', 'Politics and Government', 'audio-neutral-immersive', 'Polls and Public Opinion']",121
The Notorious Madame S.,2022-09-06,article,Review,Books,"['Books and Literature', 'Women and Girls']",1185
Agatha Christie’s Latest Biographer Plumbs a Life of Mystery,2022-09-06,article,Review,Books,"['Books and Literature', 'Writing and Writers']",1083
"Signal, the Encrypted Messaging App, Appoints a President",2022-09-06,article,News,Technology,"['Appointments and Executive Changes', 'Instant Messaging', 'Mobile Applications', 'Artificial Intelligence', 'Computers and the Internet', 'Privacy']",458
Lea Michele and the Question of Second Chances,2022-09-06,article,Op-Ed,Opinion,"['Cancel Culture', 'Theater', 'Social Media']",1680
Are Vasectomies Reversible?,2022-09-06,article,News,Well,"['Vasectomy', 'Sperm', 'Birth Control and Family Planning', 'Pregnancy and Childbirth', 'Content Type: Service', 'Surgery and Surgeons']",704
Distance Pains,2022-09-06,article,Review,Books,"['Books and Literature', 'Dating and Relationships', 'Geography', 'Computers and the Internet', 'Content Type: Personal Profile']",609
"Steeper Winter Heating Bills Loom, With Less Federal Aid",2022-09-06,article,News,Business Day,"['Heating', 'Prices (Fares, Fees and Rates)', 'Natural Gas', 'Federal Aid (US)', 'Oil (Petroleum) and Gasoline', 'Inflation (Economics)', 'Winter (Season)']",905
It’s Never Too Late to Uproot Your Life and Open an Inn,2022-09-06,article,News,Style,"['Travel and Vacations', 'Content Type: Personal Profile', 'Coronavirus (2019-nCoV)']",1239
Money Can’t Buy Class. Or Can It?,2022-09-06,article,Review,Books,"['Books and Literature', 'Fashion and Apparel', 'Travel and Vacations', 'Finances', 'High Net Worth Individuals']",1215
"The Electrifying, Emotional Return of Yeah Yeah Yeahs",2022-09-06,article,News,Arts,"['Content Type: Personal Profile', 'Pop and Rock Music']",2046
"Cameras, Plexiglass, Fireproofing: Election Officials Beef Up Security",2022-09-06,article,News,U.S.,"['States (US)', 'Right-Wing Extremism and Alt-Right', 'Midterm Elections (2022)', 'United States Politics and Government', 'Cyberharassment', 'Presidential Election of 2020', 'Stalking (Crime)', 'Threats and Threatening Messages', 'Security and Warning Systems', 'Project Democracy']",1318
This Jellyfish Can Live Forever. Its Genes May Tell Us How.,2022-09-06,article,News,Science,"['Jellyfish', 'Longevity', 'Research', 'DNA (Deoxyribonucleic Acid)', 'Proteins', 'your-feed-science']",832
New York Is Pushed to Stop Asking Aspiring Lawyers About Long-Ago Crimes,2022-09-06,article,News,New York,"['Courts and the Judiciary', 'Legal Profession', 'Law Schools', 'Crime and Criminals', 'Criminal Justice', 'Ethics and Official Misconduct', 'Race and Ethnicity', 'Discrimination']",1377
The Spanish Beach Town That Keeps Calling You Back,2022-09-06,article,News,Travel,"['Beaches', 'Travel and Vacations', 'ARCHITECTURE', 'Museums']",1926
A Rural Escape in Connecticut,2022-09-06,multimedia,Slideshow,Real Estate,"['Second Homes and Non-Primary Residences', 'Interior Design and Furnishings', 'Furniture', 'Art', 'Real Estate and Housing (Residential)', 'Home Repairs and Improvements', 'Restoration and Renovation']",0
"Mixing Children and Art? Yes, It’s Possible.",2022-09-06,article,News,Real Estate,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'ARCHITECTURE', 'Art']",876
A User’s Guide to the Midterm Elections,2022-09-06,article,News,Podcasts,"['Midterm Elections (2022)', 'Referendums', 'Elections, Senate', 'United States Politics and Government', 'audio-neutral-informative']",393
"New Yorker Festival to Host Bono, Quinta Brunson and Jamie Raskin",2022-09-06,article,News,Arts,"['Books and Literature', 'Magazines', 'New Yorker Festival', 'Pop and Rock Music', 'Comedy and Humor', 'Actors and Actresses', 'Asian-Americans', 'Writing and Writers', 'United States Politics and Government']",409
"New prime minister or not, Larry the cat is here to stay.",2022-09-06,article,News,World,"['Politics and Government', 'Cats', 'Coronavirus (2019-nCoV)']",546
A Good Issue for Democrats,2022-09-06,article,briefing,Briefing,"['internal-storyline-no', 'Polls and Public Opinion', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']",1691
Bomb Kills Dozens of Civilians in Burkina Faso,2022-09-06,article,News,World,['Civilian Casualties'],521
South Korea Is Spared as Typhoon Hinnamnor Makes Swift Exit,2022-09-06,article,News,World,"['Floods', 'Deaths (Fatalities)', 'Weather', 'Hurricanes and Tropical Storms', 'Rain', 'Global Warming', 'Typhoons']",744
Truss takes office in time-honored British fashion.,2022-09-06,article,News,World,[],323
‘Fall TV’ Is Dead. But Buzz Will Always Be With Us.,2022-09-06,article,News,Arts,['Television'],1584
Josh Groban to Star in ‘Sweeney Todd’ Revival on Broadway,2022-09-06,article,News,Theater,"['Theater', 'Theater (Broadway)', 'Actors and Actresses']",874
"In India’s Tech Capital, Floods Leave Workers Riding Tractors to Work",2022-09-06,article,News,World,"['Floods', 'Monsoons']",749
A New Bid to Crack the Code on Gun Violence,2022-09-06,article,News,Business Day,"['Mass Shootings', 'Firearms']",1894
Our Interview With Kylian Mbappé: Audio Excerpts,2022-09-06,multimedia,Interactive Feature,Sports,"['Soccer', 'World Cup 2022 (Soccer)']",0
"Is This Heat Wave Hot Enough for You, California?",2022-09-06,article,briefing,U.S.,[],1124
Michelin Reveals 2022 New York Area Additions,2022-09-06,article,News,Food,['Restaurants'],196
Climate Law a ‘Game Changer’ for Highways and Bridges,2022-09-06,article,News,Business Day,"['Global Warming', 'Inflation Reduction Act of 2022', 'Infrastructure (Public Works)', 'Factories and Manufacturing', 'Tax Credits, Deductions and Exemptions', 'Greenhouse Gas Emissions', 'Concrete', 'Asphalt', 'Steel and Iron']",1195
How Abbott Kept Sick Babies From Becoming a Scandal,2022-09-06,article,News,Business Day,"['Infant Formulas', 'Decisions and Verdicts', 'Babies and Infants', 'Suits and Litigation (Civil)', 'Food Contamination and Poisoning', 'Compensation for Damages (Law)', 'Legal Profession', 'Meningitis', 'Bacteria']",3208
It’s a challenging time to be @Liztruss on Twitter.,2022-09-06,article,News,World,['Social Media'],271
06 moscow mood fader,2022-09-06,multimedia,Slideshow,Briefing,[],0
"DJ Khaled’s Latest All-Star Album, ‘God Did,’ Is His Fourth No. 1",2022-09-06,article,News,Arts,"['Rap and Hip-Hop', 'Pop and Rock Music', 'K-Pop']",296
How and Where to Vote in Massachusetts and Who’s on the Ballot,2022-09-06,article,News,U.S.,"['Midterm Elections (2022)', 'Content Type: Service', 'Voting Rights, Registration and Requirements', 'Voting and Voters']",332
The Artist Who Throws Newton a Curve,2022-09-06,article,News,Arts,"['Art', 'Content Type: Personal Profile', 'Museums', 'Sculpture', 'Black People', 'Blacks']",1639
"In Energy Crunch, Germany Turns Down Heat but Won’t Limit Autobahn Speeds",2022-09-06,article,News,World,"['Speed Limits and Speeding', 'Roads and Traffic', 'Politics and Government', 'Fuel Emissions (Transportation)', 'Oil (Petroleum) and Gasoline', 'Russian Invasion of Ukraine (2022)']",969
Truss’s cabinet choices will signal the political direction of her government.,2022-09-06,article,News,World,['Politics and Government'],414
"Ice, Ice Baby",2022-09-06,article,News,Style,"['Rap and Hip-Hop', 'Content Type: Personal Profile']",885
Bed Bath & Beyond Names an Interim Finance Chief,2022-09-06,article,News,Business Day,"['Appointments and Executive Changes', 'Suicides and Suicide Attempts']",345
Britain’s Pound Wavers on Reports of Relief From Energy Bills,2022-09-06,article,News,Business Day,"['Prices (Fares, Fees and Rates)', 'Currency', 'British Pound (Currency)', 'Economic Conditions and Trends']",549
Scientists Have Made a Human Microbiome From Scratch,2022-09-06,article,News,Science,"['Microbiology', 'Research', 'Bacteria', 'Feces', 'Immune System', 'your-feed-science']",1384
"After a Summer of Grief, It’s Back to School in Uvalde",2022-09-06,article,News,U.S.,"['Education (K-12)', 'Uvalde, Tex, Shooting (May 24, 2022)']",1436
Restaurant Review: Nabila’s Takes a Homemade Approach to Lebanese Food,2022-09-06,article,Review,Food,['Restaurants'],994
The New Generation of Tasting Menus Won’t Test Your Patience (or Your Wallet),2022-09-06,article,News,Food,['Restaurants'],1647
Lady Wong and Singapura Team Up for a Singapore Tea Service,2022-09-06,article,News,Food,"['Restaurants', 'Tea']",122
Take a Free Course in Rosh Hashana Foods With WoodSpoon,2022-09-06,article,News,Food,"['Rosh Hashana', 'Cooking and Cookbooks']",168
Severe Floods Inundate India’s Silicon Valley,2022-09-06,multimedia,Video,World,"['Floods', 'Rain']",0
‘Soup Broth Bread’ Takes an Irish Approach to Seasonal Cooking,2022-09-06,article,News,Food,['Cooking and Cookbooks'],177
Our Place Introduces a Tagine Lid for Its Pans,2022-09-06,article,News,Food,['Cookware'],160
Tune In to a Talk on a Black Caterer of Early America,2022-09-06,article,News,Food,"['History (Academic Subject)', 'Black People', 'Blacks']",161
Rosemary’s Expands With a Pantry for Stuyvesant Town and Peter Cooper Village,2022-09-06,article,News,Food,['Supermarkets and Grocery Stores'],139
‘Queen Sugar’ Ends on Its Own Terms,2022-09-06,article,News,Arts,['Television'],1697
"New York City Issues Travel Advisory, Warning of Heavy Rainfall",2022-09-06,article,News,New York,"['Floods', 'Rain', 'Weather', 'Subways']",251
California Narrowly Averts an Electricity Crisis Amid Scorching Heat,2022-09-06,article,News,U.S.,"['Heat and Heat Waves', 'Electric Light and Power', 'Power Failures and Blackouts', 'Wildfires', 'Politics and Government']",1506
Ten Victims Identified in Puget Sound Plane Crash,2022-09-06,article,News,U.S.,"['Aviation Accidents, Safety and Disasters', 'Deaths (Fatalities)']",250
"7 Questions About Rent, Answered",2022-09-06,multimedia,Interactive Feature,Real Estate,"['Rent Control and Stabilization', 'Real Estate and Housing (Residential)', 'Affordable Housing', 'Renting and Leasing (Real Estate)', 'Public and Subsidized Housing']",0
The Unusual Cool of Saabs,2022-09-06,article,News,Magazine,"['Automobiles', 'Automobile Service and Charging Stations']",966
Is It OK to Take a Law-Firm Job Defending Climate Villains?,2022-09-06,article,News,Magazine,"['Ethics (Personal)', 'internal-sub-only', 'Legal Profession', 'Corporations', 'Corporate Social Responsibility', 'Altruism']",1325
"‘1776’ in 2022: Life, Liberty and the Pursuit of a Dual Reality",2022-09-06,article,News,Theater,"['Theater', 'Actors and Actresses', 'Women and Girls', 'Transgender and Transsexuals', 'Race and Ethnicity', 'Writing and Writers', 'Theater (Broadway)']",1890
A ‘Virtual Rapper’ Was Fired. Questions About Art and Tech Remain.,2022-09-06,article,News,Arts,"['Rap and Hip-Hop', 'Artificial Intelligence', 'Augmented Reality (Computers)', 'Art', 'Race and Ethnicity', 'Virtual Reality (Computers)']",1172
"‘We Are as Gods’ Review: Turn On, Tune In, Drop Out",2022-09-06,article,Review,Movies,['Documentary Films and Programs'],294
The World Is Getting Less Flat,2022-09-06,article,Op-Ed,Opinion,"['International Trade and World Market', 'Economics (Theory and Philosophy)', 'internal-sub-only-nl', 'United States Politics and Government', 'United States Economy', 'American Rescue Plan (2021)', 'Economic Conditions and Trends', 'International Relations']",1053
"Small Club, Big Game: Sacramento Republic in U.S. Open Cup Final",2022-09-06,article,News,Sports,"['Soccer', 'United States Open Cup (Soccer)']",847
Christine Baranski Brings Throwback Flair to Her Ripped-From-the-Headlines Stardom,2022-09-06,article,News,Style,"['Actors and Actresses', 'Content Type: Personal Profile', 'Television']",2992
The tough job of building institutions,2022-09-06,article,News,Climate,"['Global Warming', 'Greenhouse Gas Emissions', 'internal-storyline-no', 'internal-sub-only-nl']",1349
Are You in a Moral Quandary?,2022-09-06,article,News,Magazine,['internal-sub-only'],166
Decision on Trump Media Merger Plan Is Deferred,2022-09-06,article,News,Business Day,"['Mergers, Acquisitions and Divestitures', 'Social Media', 'Initial Public Offerings']",423
"As Primaries Wind Down, Here’s a Look at the Performance of Trump’s Candidates",2022-09-06,article,News,U.S.,['Midterm Elections (2022)'],1227
Transcript: Ezra Klein Show with Chloé Cooper Jones,2022-09-06,article,Op-Ed,Podcasts,[],11451
"Water Pressure Is Restored in Jackson, Miss.",2022-09-06,article,News,U.S.,"['Water', 'Heat and Heat Waves', 'Disasters and Emergencies']",579
"Apple, the Ad Critic, Now Embraces Ads",2022-09-06,article,News,Technology,"['internal-sub-only-nl', 'Advertising and Marketing', 'Computers and the Internet', 'Privacy', 'Data-Mining and Database Marketing']",1081
The Killer Who Terrorized Cleveland — and Spurred It to Change,2022-09-06,article,Review,Books,['Books and Literature'],929
California implores residents to reduce power use to avoid blackouts.,2022-09-06,article,News,U.S.,"['Heat and Heat Waves', 'Power Failures and Blackouts', 'Conservation of Resources']",372
"Record Levels of Migration, by the Numbers ",2022-09-06,multimedia,Interactive Feature,U.S.,"['United States Politics and Government', 'Immigration and Emigration']",0
Possible Delays in the Trump Inquiry,2022-09-06,article,Letter,Opinion,"['Palestinians', 'Colleges and Universities', 'Anti-Semitism', 'Classified Information and State Secrets', 'United States Politics and Government', 'Friendship']",1153
Juul Settles Multistate Youth Vaping Inquiry for $438.5 Million,2022-09-06,article,News,Health,"['E-Cigarettes', 'Advertising and Marketing', 'Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Teenagers and Adolescence', 'States (US)']",1274
Daring to Speak Up About Race in a Divided School District,2022-09-06,article,News,Magazine,"['Education (K-12)', 'Teachers and School Employees', 'Race and Ethnicity', 'Critical Race Theory', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Discrimination']",6498
Judge Unseats Official Who Trespassed at Capitol on Jan. 6,2022-09-06,article,News,U.S.,"['Storming of the US Capitol (Jan, 2021)', 'United States Politics and Government', 'Fourteenth Amendment (US Constitution)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Right-Wing Extremism and Alt-Right']",1105
"Israel Recalls Morocco Envoy After Misconduct Claims, Unsettling New Ties",2022-09-06,article,News,World,"['Diplomatic Service, Embassies and Consulates', 'Sexual Harassment', 'Politics and Government', 'International Relations']",696
Labor Board Proposes to Increase Legal Exposure for Franchised Chains,2022-09-06,article,News,Business Day,"['Fast Food Industry', 'Labor and Jobs', 'Organized Labor', 'Regulation and Deregulation of Industry', 'Workplace Hazards and Violations', 'Franchises']",482
The Great U.S. Open Ball Debate of 2022,2022-09-06,article,News,Sports,"['United States Open (Tennis)', 'Tennis', 'Sporting Goods and Equipment']",1155
Biting Satires Dominate Booker Prize Shortlist,2022-09-06,article,News,Books,"['Man Booker Prize', 'Books and Literature', 'Writing and Writers', 'Comedy and Humor']",775
A ‘Period Dignity Officer’ Seemed Like a Good Idea. Until a Man Was Named.,2022-09-06,article,News,World,"['Women and Girls', 'Menstruation', 'Hiring and Promotion', ""Women's Rights""]",731
California Braces for Difficult Wildfire Day During Record Heat Wave,2022-09-06,article,News,U.S.,"['Heat and Heat Waves', 'Wildfires', 'Global Warming']",476
Tiny Love Stories: ‘My Mother Fell for Her Too’,2022-09-06,article,News,Style,"['internal-sub-only', 'Love (Emotion)', 'Modern Love (Times Column)', 'Dating and Relationships']",460
How China Has Added to Its Influence Over the iPhone,2022-09-06,article,News,Technology,"['iPhone', 'Factories and Manufacturing', 'Computers and the Internet']",1158
How the Car Created the Modern World,2022-09-06,article,Review,Books,"['Small Cars (Compact, Subcompact and Microcars)', 'Automobile Service and Charging Stations', 'Books and Literature', 'Traffic Accidents and Safety', 'Roads and Traffic']",1187
Biden will not designate Russia a state sponsor of terrorism.,2022-09-06,article,News,World,[],254
Swimming Federation Reverses Ban on Swim Cap Designed for Black Hair,2022-09-06,article,News,Sports,"['Black People', 'Blacks', 'Lifeguards', 'Olympic Games (2020)', 'Bathing Suits and Swimwear', 'Hair', 'Swimming']",670
Former Pentagon Leaders Warn of a Dangerous Era,2022-09-06,article,News,U.S.,"['Presidential Election of 2020', 'United States Defense and Military Forces', 'Storming of the US Capitol (Jan, 2021)', 'George Floyd Protests (2020)']",704
Breakfast With Grandma,2022-09-06,article,News,Food,"['Restaurants', 'internal-sub-only-nl']",773
‘A Kaddish for Bernie Madoff’ Review: Reflections on a Scandal,2022-09-06,article,Review,Movies,['Movies'],280
"Peter Straub, Literary Master of the Supernatural, Dies at 79",2022-09-06,article,Obituary (Obit),Books,"['Books and Literature', 'Writing and Writers', 'Deaths (Obituaries)']",1264
"Truss Takes Office, Promising Britons They Can ‘Ride Out the Storm’",2022-09-06,article,News,World,"['Politics and Government', 'Economic Conditions and Trends']",1136
Contractor at Center of Navy Bribery Scandal Flees House Arrest,2022-09-06,article,News,U.S.,"['United States Defense and Military Forces', 'High Net Worth Individuals', 'Bribery and Kickbacks']",775
Your Wednesday Briefing: South Korea Skirts a Typhoon,2022-09-06,article,briefing,Briefing,"['Elections', 'War and Armed Conflicts', 'Privacy', 'Computers and the Internet', 'United States International Relations', 'Russian Invasion of Ukraine (2022)', 'Global Warming']",1271
"WTA Finals Set for Texas This Year, but a Return to China Is Uncertain",2022-09-06,article,News,Sports,['Tennis'],702
Massachusetts Primary Election Results,2022-09-06,multimedia,Interactive Feature,U.S.,"['Elections', 'Elections, Governors']",0
Top U.N. officials say neither country should have a military presence at the Zaporizhzhia nuclear plant.,2022-09-06,article,News,World,[],539
"After Uvalde, Texas State Police Revise Training for Mass Shootings",2022-09-06,article,News,U.S.,"['Mass Shootings', 'Uvalde, Tex, Shooting (May 24, 2022)', 'School Shootings and Armed Attacks', 'Police']",1086
B.Y.U. Is Still Investigating Racial Slurs at Women’s Volleyball Match,2022-09-06,article,News,Sports,"['Colleges and Universities', 'Race and Ethnicity', 'Black People', 'Blacks', 'Athletics and Sports', 'Indecency, Obscenity and Profanity', 'Coaches and Managers', 'Volleyball']",824
‘Playing With Fire’: U.N. Team Calls for No-Fire Zone at Ukraine Nuclear Plant,2022-09-06,article,News,World,"['Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'Nuclear Energy', 'Accidents and Safety']",1167
"Dr. Ronald Glasser, Bard of the Vietnam War Wounded, Dies at 83",2022-09-06,article,Obituary (Obit),Books,"['Deaths (Obituaries)', 'Vietnam War', 'Doctors', 'Books and Literature', 'Writing and Writers']",972
Your Tuesday Evening Briefing,2022-09-06,article,News,Briefing,"['Tennis', 'Decisions and Verdicts', 'War and Armed Conflicts', 'Uvalde, Tex, Shooting (May 24, 2022)', 'Infant Formulas']",1275
When Will We Know Who Won in Massachusetts?,2022-09-06,article,News,U.S.,"['Midterm Elections (2022)', 'Absentee Voting', 'United States Politics and Government', 'Primaries and Caucuses']",238
A Chess Champion Resolves Her ‘Queen’s Gambit’ Lawsuit Against Netflix,2022-09-06,article,News,Arts,"['Television', 'Chess', 'Libel and Slander']",366
"After New York, Jaap van Zweden Will Lead Seoul Philharmonic",2022-09-06,article,News,Arts,"['Classical Music', 'Appointments and Executive Changes']",472
Enlisting Ukrainian Students to Promote Democracy in America,2022-09-06,article,News,U.S.,"['United States Politics and Government', 'internal-sub-only-nl', 'Democracy (Theory and Philosophy)', 'Scholarships and Fellowships']",1309
With Malice Toward Quite a Few,2022-09-06,article,Op-Ed,Opinion,"['Democracy (Theory and Philosophy)', 'United States Politics and Government', 'Right-Wing Extremism and Alt-Right', 'Speeches and Statements']",853
Video Raises Concerns About Election Data Breach in Georgia County,2022-09-06,article,News,U.S.,"['Conspiracy Theories', 'Voter Fraud (Election Fraud)', 'Voting Machines', 'Computer Security', 'Presidential Election of 2020', 'United States Politics and Government']",1073
Canada Stabbing Suspect Remains at Large After Police Manhunt at Reserve,2022-09-06,article,News,World,"['Saskatchewan, Canada, Stabbings (2022)', 'Indigenous People', 'Fugitives']",830
"Special Masters and the Trump Records Investigation, Explained",2022-09-06,article,News,U.S.,"['Classified Information and State Secrets', 'Espionage and Intelligence Services', 'Search and Seizure', 'Executive Privilege, Doctrine of', 'Federal Courts (US)', 'United States Politics and Government']",1376
Two Democrats Vying for D.A. in Boston Are Mired in Scandal,2022-09-06,article,News,U.S.,"['Elections, District Attorneys', 'Politics and Government']",593
What the Aftermath of the Deadly Mill Fire Looks Like,2022-09-07,article,News,U.S.,['Wildfires'],315
Massachusetts Primary Election Results: Suffolk County District Attorney,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses']",0
Massachusetts Sixth Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Eighth Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Second Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Fifth Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Attorney General Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Attorneys General']",0
Massachusetts Ninth Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Seventh Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Governor Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Governors']",0
Massachusetts Third Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts First Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Massachusetts Secretary of State Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Secretary of State']",0
Massachusetts Lieutenant Governor Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Lieutenant Governors']",0
Massachusetts Fourth Congressional District Primary Election Results,2022-09-07,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Maura Healey Could Make History in Run for Massachusetts Governor,2022-09-07,article,News,U.S.,"['Elections, Governors', 'Politics and Government', 'Primaries and Caucuses', 'Midterm Elections (2022)', 'Homosexuality and Bisexuality', 'Women and Girls']",1265
Democrats Dodge 3rd-Party Challenge in N.Y.C. House Race,2022-09-07,article,News,New York,"['United States Politics and Government', 'Elections, House of Representatives', 'Midterm Elections (2022)']",834
Coco Gauff Drops U.S. Open Quarterfinals Match to Caroline Garcia,2022-09-07,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",1169
Newbie Crossword Solver,2022-09-07,article,News,Crosswords & Games,['Crossword Puzzles'],1090
"Massachusetts Picks Right-Wing Governor Nominee, Helping Democrats’ Outlook",2022-09-07,article,News,U.S.,"['Elections, Governors', 'Primaries and Caucuses', 'Midterm Elections (2022)', 'Endorsements']",692
A News Anchor Had Stroke Symptoms on Air. Her Colleagues Jumped Into Action.,2022-09-07,article,News,U.S.,"['Stroke', 'Television', 'News and News Media', 'Nine-One-One (911) (Emergency Phone Number)']",674
Quotation of the Day: A War Out of Sight and (for Many) Out of Mind,2022-09-07,article,Quote,Today’s Paper,[],33
"Corrections: Sept. 7, 2022",2022-09-07,article,Correction,Corrections,[],417
"In the N.F.L., Revenge Rarely Follows Breakups",2022-09-07,article,News,Sports,['Football'],1007
"Frances Tiafoe Has Them Talking About Tennis in Freetown, Sierra Leone",2022-09-07,article,News,Sports,"['Tennis', 'United States Open (Tennis)', 'Content Type: Personal Profile']",1179
How Will Ukraine Rebuild (and Who Should Pay)?,2022-09-07,article,News,World,"['Russian Invasion of Ukraine (2022)', 'Foreign Aid', 'United States International Relations', 'Infrastructure (Public Works)']",1072
"The Little Pump Trains That Could, but Didn’t",2022-09-07,article,briefing,New York,"['internal-storyline-no', 'Subways']",1504
Europe Is Sacrificing Its Ancient Forests for Energy,2022-09-07,multimedia,Interactive Feature,World,"['Logging Industry', 'Energy and Power']",0
